Nom_barri,accident_count,avg_severity,accident_risk
Baró de Viver,27,1.111,low
Can Baró,9,1.444,low
Can Peguera,7,0.857,low
Canyelles,43,1.349,low
Ciutat Meridiana,12,1.0,low
Desconegut,90,1.033,medium
Diagonal Mar i el Front Marítim del Poblenou,93,1.323,medium
Horta,127,1.118,high
Hostafrancs,93,1.054,medium
Montbau,41,1.171,low
Navas,66,1.076,medium
Pedralbes,141,1.064,high
Porta,57,1.07,medium
Provençals del Poblenou,118,1.22,high
Sant Andreu,144,1.035,high
Sant Antoni,207,1.097,high
Sant Genís dels Agudells,43,1.093,low
Sant Gervasi - Galvany,301,1.08,high
Sant Gervasi - la Bonanova,202,1.208,high
Sant Martí de Provençals,72,1.097,medium
"Sant Pere, Santa Caterina i la Ribera",108,1.157,high
Sants,96,0.938,medium
Sants - Badal,52,1.096,low
Sarrià,146,1.075,high
Torre Baró,10,0.6,low
Vallbona,4,0.75,low
Vallcarca i els Penitents,94,1.106,medium
"Vallvidrera, el Tibidabo i les Planes",19,1.053,low
Verdun,20,1.0,low
Vilapicina i la Torre Llobeta,72,1.194,medium
el Baix Guinardó,96,1.125,medium
el Barri Gòtic,95,1.116,medium
el Besòs i el Maresme,45,1.111,low
el Bon Pastor,135,1.207,high
el Camp d'en Grassot i Gràcia Nova,88,1.125,medium
el Camp de l'Arpa del Clot,130,1.108,high
el Carmel,51,1.078,low
el Clot,101,1.178,high
el Coll,14,0.714,low
el Congrés i els Indians,38,0.868,low
el Fort Pienc,205,1.132,high
el Guinardó,84,1.155,medium
el Parc i la Llacuna del Poblenou,100,1.19,medium
el Poble-sec,178,1.118,high
el Poblenou,125,1.2,high
el Putxet i el Farró,99,1.03,medium
el Raval,137,1.015,high
el Turó de la Peira,25,1.32,low
l'Antiga Esquerra de l'Eixample,416,1.137,high
la Barceloneta,94,1.096,medium
la Bordeta,74,1.162,medium
la Clota,11,0.818,low
la Dreta de l'Eixample,742,1.209,high
la Font d'en Fargues,24,0.792,low
la Font de la Guatlla,26,0.962,low
la Guineueta,47,1.17,low
la Marina de Port,106,1.142,high
la Marina del Prat Vermell,188,1.181,high
la Maternitat i Sant Ramon,180,1.083,high
la Nova Esquerra de l'Eixample,267,1.157,high
la Prosperitat,57,1.158,medium
la Sagrada Família,265,1.238,high
la Sagrera,67,1.388,medium
la Salut,51,1.078,low
la Teixonera,21,0.952,low
la Trinitat Nova,58,1.448,medium
la Trinitat Vella,70,1.029,medium
la Vall d'Hebron,61,1.164,medium
la Verneda i la Pau,54,1.037,low
la Vila Olímpica del Poblenou,84,1.345,medium
la Vila de Gràcia,128,1.062,high
les Corts,244,1.184,high
les Roquetes,41,1.195,low
les Tres Torres,88,1.239,medium
